city_id,city,state,total_polulation
1,New York,New York,18832416
2,Los Angeles,California,11885717
3,Chicago,Illinois,8489066
4,Miami,Florida,6113982
5,Houston,Texas,6046392
6,Dallas,Texas,5843632
7,Philadelphia,Pennsylvania,5696588
8,Atlanta,Georgia,5211164
9,Washington,District of Columbia,5146120
10,Boston,Massachusetts,4355184
11,Phoenix,Arizona,4065338
12,Detroit,Michigan,3716929
13,Seattle,Washington,3555253
14,San Francisco,California,3364862
15,San Diego,California,3057778
16,Minneapolis,Minnesota,2906807
17,Tampa,Florida,2906035
18,Brooklyn,New York,2736074
19,Denver,Colorado,2691349
20,Queens,New York,2405464
21,Riverside,California,2288508
22,Las Vegas,Nevada,2256509
23,Baltimore,Maryland,2189589
24,St. Louis,Missouri,2127843
25,Portland,Oregon,2084045
26,San Antonio,Texas,2069843
27,Sacramento,California,1962998
28,Austin,Texas,1915031
29,Orlando,Florida,1913597
30,San Juan,Puerto Rico,1809800
31,San Jose,California,1771563
32,Indianapolis,Indiana,1740984
33,Pittsburgh,Pennsylvania,1712828
34,Cincinnati,Ohio,1704916
35,Manhattan,New York,1694263
36,Kansas City,Missouri,1686807
37,Cleveland,Ohio,1679247
38,Columbus,Ohio,1578153
39,Bronx,New York,1472654
40,Charlotte,North Carolina,1436613
41,Virginia Beach,Virginia,1431821
42,Jacksonville,Florida,1303156
43,Milwaukee,Wisconsin,1290221
44,Providence,Rhode Island,1270529
45,Nashville,Tennessee,1178679
46,Salt Lake City,Utah,1169033
47,Raleigh,North Carolina,1150010
48,Richmond,Virginia,1081248
49,Memphis,Tennessee,1033394
50,Oklahoma City,Oklahoma,1000207
51,Hartford,Connecticut,969171
52,Louisville,Kentucky,965005
53,Buffalo,New York,949547
54,Fort Worth,Texas,941311
55,Bridgeport,Connecticut,921660
56,New Orleans,Louisiana,918752
57,Tucson,Arizona,879871
58,El Paso,Texas,862494
59,Omaha,Nebraska,826161
60,McAllen,Texas,810034
61,Birmingham,Alabama,778756
62,Albuquerque,New Mexico,767499
63,Tulsa,Oklahoma,740620
64,Charleston,South Carolina,726389
65,Fresno,California,724547
66,Rochester,New York,694707
67,Dayton,Ohio,667936
68,Cape Coral,Florida,656464
69,Provo,Utah,639820
70,Colorado Springs,Colorado,638421
71,Mission Viejo,California,634674
72,Allentown,Pennsylvania,632175
73,Baton Rouge,Louisiana,630063
74,Ogden,Utah,623688
75,Knoxville,Tennessee,618226
76,Grand Rapids,Michigan,611480
77,Columbia,South Carolina,605083
78,Albany,New York,602242
79,Bakersfield,California,578542
80,New Haven,Connecticut,565056
81,Des Moines,Iowa,560170
82,Palm Bay,Florida,547659
83,Akron,Ohio,538659
84,Concord,California,525233
85,Mesa,Arizona,507478
86,Wichita,Kansas,501760
87,Harrisburg,Pennsylvania,499494
88,Staten Island,New York,495747
89,Toledo,Ohio,492076
90,Worcester,Massachusetts,487014
91,Port St. Lucie,Florida,473733
92,Little Rock,Arkansas,467846
93,Madison,Wisconsin,460255
94,Spokane,Washington,458988
95,Long Beach,California,458491
96,Denton,Texas,455152
97,Reno,Nevada,454814
98,Boise,Idaho,449428
99,Bonita Springs,Florida,445500
100,Kissimmee,Florida,442790
101,Augusta,Georgia,439361
102,Springfield,Massachusetts,438889
103,Oakland,California,438072
104,Winston-Salem,North Carolina,434231
105,Stockton,California,416005
106,Durham,North Carolina,411362
107,Chattanooga,Tennessee,410795
108,Greenville,South Carolina,408626
109,Lancaster,Pennsylvania,408023
110,Syracuse,New York,407625
111,Fayetteville,Arkansas,405556
112,Pensacola,Florida,401535
